INFO 2024-05-17 08:35:18,021 autoreload Watching for file changes with StatReloader
DEBUG 2024-05-17 08:35:18,021 autoreload Waiting for apps ready_event.
DEBUG 2024-05-17 08:35:18,280 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-05-17 08:35:18,294 autoreload Watching dir C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\templates with glob **/*.
DEBUG 2024-05-17 08:35:18,294 autoreload Watching dir C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\scrap\templates with glob **/*.
DEBUG 2024-05-17 08:35:18,295 autoreload Watching dir C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\locale with glob **/*.mo.
DEBUG 2024-05-17 08:35:18,296 autoreload Watching dir C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\compare\locale with glob **/*.mo.
DEBUG 2024-05-17 08:35:18,300 autoreload Watching dir C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\scrap\locale with glob **/*.mo.
DEBUG 2024-05-17 08:35:18,339 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-05-17 08:35:18,344 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-05-17 08:35:18,589 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\contrib\staticfiles\views.py first seen with mtime 1714980986.5660963
DEBUG 2024-05-17 08:35:18,589 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\selenium\webdriver\webkitgtk\options.py first seen with mtime 1715065726.4602475
DEBUG 2024-05-17 08:35:18,589 autoreload File C:\python310\Lib\importlib\machinery.py first seen with mtime 1680652042.0
DEBUG 2024-05-17 08:35:18,589 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\lxml\_elementpath.cp310-win_amd64.pyd first seen with mtime 1714981873.5649524
DEBUG 2024-05-17 08:35:18,589 autoreload File C:\python310\Lib\calendar.py first seen with mtime 1680652042.0
DEBUG 2024-05-17 08:35:18,589 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\selenium\webdriver\wpewebkit\__init__.py first seen with mtime 1715065726.4758673
DEBUG 2024-05-17 08:35:18,589 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\asgiref\sync.py first seen with mtime 1714980982.3762238
DEBUG 2024-05-17 08:35:18,589 autoreload File C:\python310\Lib\gettext.py first seen with mtime 1680652042.0
DEBUG 2024-05-17 08:35:18,589 autoreload File C:\python310\Lib\wsgiref\simple_server.py first seen with mtime 1680652042.0
